"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,0.526429062767401,0.526416682072738,0.526415637364967,0.526415602148541,0.526415602148541,0.526415624998197,0.552968884679123,0.552968923785127,0.552968923785127,0.552968923785127,0.552968923785127,0.552968923785127,0,0,0,0,0,0,0,0,0,0,0,0,0.0775503982020708,0.139072271957091,0.0983890068658338,0.0964516327685587,0.0964516327685587,0.097446179260671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775503982020708,0.139072271957091,0.0983890068658338,0.0964516327685587,0.0964516327685587,0.097446179260671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775503982020708,-0.139072271957091,-0.0983890068658338,-0.0964516327685587,-0.0964516327685587,-0.097446179260671,0,0,0,0,0,0,-0.000242604684317811,-0.000179530083967398,-0.000173211865879512,-0.000172911185057825,-0.000172911185057825,-0.000173073890536328,-0.000281151917422985,-0.000281307829619907,-0.000281307829619907,-0.000281307829619907,-0.000281307829619907,-0.000281307829619907,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0.528826653834996,0.528812822078921,0.528811631928867,0.52881158972003,0.52881158972003,0.528811616246634,0.557765107936747,0.557765154324003,0.557765154324003,0.557765154324003,0.557765154324003,0.557765154324003,0,0,0,0,0,0,0,0,0,0,0,0,0.063576322051582,0.13334166599314,0.0889105380961979,0.0868420886140348,0.0868420886140348,0.0879001044389047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063576322051582,0.13334166599314,0.0889105380961979,0.0868420886140348,0.0868420886140348,0.0879001044389047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063576322051582,-0.13334166599314,-0.0889105380961979,-0.0868420886140348,-0.0868420886140348,-0.0879001044389047,0,0,0,0,0,0,-0.000199551052606467,-0.00014100220078815,-0.000135132238321523,-0.000134847558013206,-0.000134847558013206,-0.000134993548636754,-0.000207156277335672,-0.000207304667543504,-0.000207304667543504,-0.000207304667543504,-0.000207304667543504,-0.000207304667543504,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0.53122320172353,0.531208047548253,0.53120672521111,0.531206676557645,0.531206676557645,0.531206706357554,0.562557792612186,0.562557845457244,0.562557845457244,0.562557845457244,0.562557845457244,0.562557845457244,0,0,0,0,0,0,0,0,0,0,0,0,0.0507883656854828,0.128906016079157,0.0807727856478703,0.0785457964680342,0.0785457964680342,0.0796553810157676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507883656854828,0.128906016079157,0.0807727856478703,0.0785457964680342,0.0785457964680342,0.0796553810157676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507883656854828,-0.128906016079157,-0.0807727856478703,-0.0785457964680342,-0.0785457964680342,-0.0796553810157676,0,0,0,0,0,0,-0.000155477205025927,-0.000103025883473016,-9.77996821108086e-05,-9.75436201179079e-05,-9.75436201179079e-05,-9.76724981238486e-05,-0.000133233129853859,-0.000133356116521903,-0.000133356116521903,-0.000133356116521903,-0.000133356116521903,-0.000133356116521903,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0.533618680531915,0.533602369874879,0.533600933471241,0.533600879194419,0.533600879194419,0.533600911735816,0.567346942171963,0.567346999796777,0.567346999796777,0.567346999796777,0.567346999796777,0.567346999796777,0,0,0,0,0,0,0,0,0,0,0,0,0.0395210482841779,0.125479939535217,0.0737493906468235,0.0713876403584494,0.0713876403584494,0.0724910020863283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395210482841779,0.125479939535217,0.0737493906468235,0.0713876403584494,0.0713876403584494,0.0724910020863283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395210482841779,-0.125479939535217,-0.0737493906468235,-0.0713876403584494,-0.0713876403584494,-0.0724910020863283,0,0,0,0,0,0,-0.000110267735067819,-6.54623072386331e-05,-6.10901304021652e-05,-6.08733305892557e-05,-6.08733305892557e-05,-6.09756512905476e-05,-5.93823969739823e-05,-5.94621362545602e-05,-5.94621362545602e-05,-5.94621362545602e-05,-5.94621362545602e-05,-5.94621362545602e-05,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0.536013061398568,0.535995797584675,0.535994270402657,0.535994211672868,0.535994211672868,0.535994246261861,0.57209138397534,0.572091502878377,0.572091502878377,0.572091502878377,0.572091502878377,0.572091502878377,0,0,0,0,0,0,0,0,0,0,0,0,0.0299853277593581,0.123062948770962,0.0677157365258234,0.0652835478258545,0.0652835478258545,0.0663785418291424,0,0,0,0,0,0,0,0,0,0,0,0,0.00174181060362061,0.0017393492946301,0.0017393492946301,0.0017393492946301,0.0017393492946301,0.0017393492946301,0.0299853277593581,0.123062948770962,0.0677157365258234,0.0652835478258545,0.0652835478258545,0.0663785418291424,0.00174181060362061,0.0017393492946301,0.0017393492946301,0.0017393492946301,0.0017393492946301,0.0017393492946301,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299853277593581,-0.123062948770962,-0.0677157365258234,-0.0652835478258545,-0.0652835478258545,-0.0663785418291424,0,0,0,0,0,0,-6.37921663503318e-05,-2.82080249519304e-05,-2.49105110956612e-05,-2.47508009508163e-05,-2.47508009508163e-05,-2.48221527269338e-05,0.00171888610432353,0.00171642374913961,0.00171642374913961,0.00171642374913961,0.00171642374913961,0.00171642374913961,0.991112194757476,0.991203959445681,0.991212077083104,0.991212389257503,0.991212389257503,0.991212205401942,0.981745888264513,0.981745184908899,0.981745184908899,0.981745184908899,0.981745184908899,0.981745184908899,0,0,0,0,0,0,0,0,0,0,0,0
16,0.538406312748085,0.538383824428884,0.538381356353368,0.538381250297898,0.538381250297898,0.538381306027394,0.576639744295582,0.576639995010239,0.576639995010239,0.576639995010239,0.576639995010239,0.576639995010239,0,0,0,0,0,0,0,0,0,0,0,0,0.0221777212610124,0.121415563129891,0.0625042056532232,0.0599694545753281,0.0599694545753281,0.0610978616090127,0,0,0,0,0,0,0,0.000398432724456062,0.00047498426736466,0.000478836189314401,0.000478836189314401,0.000477115462806028,0.00803042291488856,0.00802768574853427,0.00802768574853427,0.00802768574853427,0.00802768574853427,0.00802768574853427,0.0221777212610124,0.121813995854347,0.0629791899205878,0.0604482907646425,0.0604482907646425,0.0615749770718187,0.00803042291488856,0.00802768574853427,0.00802768574853427,0.00802768574853427,0.00802768574853427,0.00802768574853427,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221777212610124,-0.121415563129891,-0.0625042056532232,-0.0599694545753281,-0.0599694545753281,-0.0610978616090127,0,0,0,0,0,0,-1.59516688176186e-05,0.000385356965044238,0.000460679953633868,0.000464474672284665,0.000464474672284665,0.00046277942598761,0.00794518350485479,0.00794237205726971,0.00794237205726971,0.00794237205726971,0.00794237205726971,0.00794237205726971,0.978391021716735,0.978510556925607,0.978523675821673,0.978524239552682,0.978524239552682,0.978523943326142,0.954840648267251,0.954839165196971,0.954839165196971,0.954839165196971,0.954839165196971,0.954839165196971,0,0,0,0,0,0,0,0,0,0,0,0
17,0.540787768120226,0.540751637679872,0.540747134050255,0.54074692438819,0.54074692438819,0.540747025765375,0.580882017581498,0.580882405868294,0.580882405868294,0.580882405868294,0.580882405868294,0.580882405868294,0,0,0,0,0,0,0,0,0,0,0,0,0.0160400193621675,0.120534315400852,0.0579622856522862,0.0552972293559056,0.0552972293559056,0.0564534877894878,0,0,0,0,0,0,0.000958959584804688,0.00167215667074805,0.00176000343714922,0.00176450392263817,0.00176450392263817,0.00176254268994401,0.0142918086719135,0.0142890537316492,0.0142890537316492,0.0142890537316492,0.0142890537316492,0.0142890537316492,0.0169989789469722,0.1222064720716,0.0597222890894354,0.0570617332785437,0.0570617332785437,0.0582160304794319,0.0142918086719135,0.0142890537316492,0.0142890537316492,0.0142890537316492,0.0142890537316492,0.0142890537316492,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160400193621675,-0.120534315400852,-0.0579622856522862,-0.0552972293559056,-0.0552972293559056,-0.0564534877894878,0,0,0,0,0,0,0.000920543254184344,0.00162606719132394,0.00171387991849893,0.00171838486868926,0.00171838486868926,0.00171642146140476,0.0141401257829412,0.0141371977725707,0.0141371977725707,0.0141371977725707,0.0141371977725707,0.0141371977725707,0.965732549432188,0.965924598455323,0.965948537207796,0.965949651652967,0.965949651652967,0.965949112789084,0.929746026721197,0.92974372986064,0.92974372986064,0.92974372986064,0.92974372986064,0.92974372986064,0,0,0,0,0,0,0,0,0,0,0,0
18,0.543142348723076,0.543088256725067,0.543081575679629,0.543081252393477,0.543081252393477,0.543081402306556,0.584838801323057,0.584839332552297,0.584839332552297,0.584839332552297,0.584839332552297,0.584839332552297,0,0,0,0,0,0,0,0,0,0,0,0,0.0113914510907749,0.120182088666119,0.0540347613388922,0.0512135711203465,0.0512135711203465,0.0523936668573174,0,0,0,0,0,0,0.00224209769113215,0.00300455711902647,0.00309630494335206,0.00310114981295567,0.00310114981295567,0.0030991129353323,0.0201318310764637,0.0201290760396518,0.0201290760396518,0.0201290760396518,0.0201290760396518,0.0201290760396518,0.013633548781907,0.123186645785146,0.0571310662822442,0.0543147209333021,0.0543147209333021,0.0554927797926496,0.0201318310764637,0.0201290760396518,0.0201290760396518,0.0201290760396518,0.0201290760396518,0.0201290760396518,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113914510907749,-0.120182088666119,-0.0540347613388922,-0.0512135711203465,-0.0512135711203465,-0.0523936668573174,0,0,0,0,0,0,0.00215350653012578,0.00292176388572944,0.00301548018941683,0.00302043584633919,0.00302043584633919,0.00301835192269807,0.0199181923112298,0.0199151556356298,0.0199151556356298,0.0199151556356298,0.0199151556356298,0.0199151556356298,0.953216928248786,0.953504450772036,0.953539963437738,0.953541681844407,0.953541681844407,0.953540884991113,0.906340181825816,0.906337039407623,0.906337039407623,0.906337039407623,0.906337039407623,0.906337039407623,0,0,0,0,0,0,0,0,0,0,0,0
19,0.545467074931036,0.545394109835101,0.545385108805486,0.545384660208731,0.545384660208731,0.545384861535582,0.588529304276905,0.588529986123215,0.588529986123215,0.588529986123215,0.588529986123215,0.588529986123215,0,0,0,0,0,0,0,0,0,0,0,0,0.00794865671237558,0.120416888709897,0.050630095445976,0.0476295191714913,0.0476295191714913,0.0488302751160245,0,0,0,0,0,0,0.00353528286781806,0.00431864878931122,0.0044141637028754,0.00441940177384862,0.00441940177384862,0.00441729439140066,0.0255789372951934,0.0255761062493345,0.0255761062493345,0.0255761062493345,0.0255761062493345,0.0255761062493345,0.0114839395801936,0.124735537499208,0.0550442591488514,0.0520489209453399,0.0520489209453399,0.0532475695074251,0.0255789372951934,0.0255761062493345,0.0255761062493345,0.0255761062493345,0.0255761062493345,0.0255761062493345,0,0,0,0,0,0,0,0,0,0,0,0,-0.00794865671237558,-0.120416888709897,-0.050630095445976,-0.0476295191714913,-0.0476295191714913,-0.0488302751160245,0,0,0,0,0,0,0.00339333311152447,0.00419962441612856,0.00429934694295131,0.00430482295098976,0.00430482295098976,0.00430261892209519,0.02530753774227,0.0253042978975061,0.0253042978975061,0.0253042978975061,0.0253042978975061,0.0253042978975061,0.940859996174026,0.941247837430862,0.941295681822677,0.941298066309765,0.941298066309765,0.941296996169888,0.884509486653753,0.884505453279678,0.884505453279678,0.884505453279678,0.884505453279678,0.884505453279678,0,0,0,0,0,0,0,0,0,0,0,0
20,0.547762359766877,0.547669618842621,0.5476581519124,0.547657564664911,0.547657564664911,0.547657821205284,0.591971443050019,0.591972284873806,0.591972284873806,0.591972284873806,0.591972284873806,0.591972284873806,0,0,0,0,0,0,0,0,0,0,0,0,0.00547917015930051,0.121121708677957,0.047592317387733,0.0443948726026076,0.0443948726026076,0.045648520720585,0,0,0,0,0,0,0.00481256996976336,0.00561485111445084,0.0057140625924111,0.00571973803074685,0.00571973803074685,0.00571749770234437,0.0306594712140082,0.0306565899427856,0.0306565899427856,0.0306565899427856,0.0306565899427856,0.0306565899427856,0.0102917401290639,0.126736559792408,0.0533063799801441,0.0501146106333545,0.0501146106333545,0.0513660184229293,0.0306594712140082,0.0306565899427856,0.0306565899427856,0.0306565899427856,0.0306565899427856,0.0306565899427856,0,0,0,0,0,0,0,0,0,0,0,0,-0.00547917015930051,-0.121121708677957,-0.047592317387733,-0.0443948726026076,-0.0443948726026076,-0.045648520720585,0,0,0,0,0,0,0.00461625239691214,0.00546002393304388,0.00556592408881524,0.00557198912487448,0.00557198912487448,0.0055695936146079,0.0303342183382949,0.0303307890916399,0.0303307890916399,0.0303307890916399,0.0303307890916399,0.0303307890916399,0.928659557812035,0.92915251620759,0.929213467934878,0.929216589410995,0.929216589410995,0.929215225787207,0.864147957822724,0.864142978122474,0.864142978122474,0.864142978122474,0.864142978122474,0.864142978122474,0,0,0,0,0,0,0,0,0,0,0,0
