"id","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11,-5.6799,-6.2114,-6.2814,-6.2849,-6.2849,-6.2831,-6.0015,-6,-6,-6,-6,-6,-5.6799,-6.2114,-6.2814,-6.2849,-6.2849,-6.2831,-6.0015,-6,-6,-6,-6,-6,0.0284000000000004,-0.0120000000000005,-0.0194999999999999,-0.0200000000000005,-0.0200000000000005,-0.0198999999999998,-0.000300000000000189,0,0,0,0,0,0.245719130868058,0.0813209006424827,0.00412342937089327,-0.000297903284575222,-0.000297903284575222,0.00121657899143149,-0.00162000000000102,0,0,0,0,0,-0.000775503982020708,-0.00139072271957091,-0.000983890068658338,-0.000964516327685587,-0.000964516327685587,-0.00097446179260671,0,0,0,0,0,0
12,-5.6504,-6.2211,-6.2988,-6.3027,-6.3027,-6.3007,-6.0018,-6,-6,-6,-6,-6,-5.6504,-6.2211,-6.2988,-6.3027,-6.3027,-6.3007,-6.0018,-6,-6,-6,-6,-6,0.0294999999999996,-0.0096999999999996,-0.0174000000000003,-0.0177999999999994,-0.0177999999999994,-0.0175999999999998,-0.000300000000000189,0,0,0,0,0,0.236850398202069,0.0866922719570933,0.00442900686583219,0.00033163276856213,0.00033163276856213,0.00240617926067184,-0.00162000000000102,0,0,0,0,0,-0.000635763220515819,-0.0013334166599314,-0.000889105380961979,-0.000868420886140348,-0.000868420886140348,-0.000879001044389047,0,0,0,0,0,0
13,-5.6198,-6.2286,-6.3144,-6.3188,-6.3188,-6.3166,-6.0021,-6,-6,-6,-6,-6,-5.6198,-6.2286,-6.3144,-6.3188,-6.3188,-6.3166,-6.0021,-6,-6,-6,-6,-6,0.0306000000000006,-0.00750000000000028,-0.0156000000000001,-0.0161000000000007,-0.0161000000000007,-0.0159000000000002,-0.000300000000000189,0,0,0,0,0,0.228816322051585,0.0928416659931385,0.00467053809619761,-9.79113859688421e-05,-9.79113859688421e-05,0.00204010443890332,-0.00162000000000102,0,0,0,0,0,-0.000507883656854828,-0.00128906016079157,-0.000807727856478703,-0.000785457964680342,-0.000785457964680342,-0.000796553810157676,0,0,0,0,0,0
14,-5.5883,-6.2344,-6.3285,-6.3334,-6.3334,-6.3311,-6.0024,-6,-6,-6,-6,-6,-5.5883,-6.2344,-6.3285,-6.3334,-6.3334,-6.3311,-6.0024,-6,-6,-6,-6,-6,0.0314999999999994,-0.00579999999999981,-0.0141,-0.0145999999999997,-0.0145999999999997,-0.0145,-0.000299999999999301,0,0,0,0,0,0.22088836568548,0.0975860160791577,0.00463278564787029,-0.00029420353196436,-0.00029420353196436,0.00135538101576782,-0.00161999999999622,0,0,0,0,0,-0.000395210482841779,-0.00125479939535218,-0.000737493906468235,-0.000713876403584494,-0.000713876403584494,-0.000724910020863283,0,0,0,0,0,0
15,-5.5562,-6.2385,-6.3412,-6.3465,-6.3465,-6.3441,-6.0027,-6,-6,-6,-6,-6,-5.5562,-6.2385,-6.3412,-6.3465,-6.3465,-6.3441,-6.0027,-6,-6,-6,-6,-6,0.0321000000000007,-0.00410000000000021,-0.0126999999999997,-0.0130999999999997,-0.0130999999999997,-0.0129999999999999,-0.000300000000000189,0,0,0,0,0,0.212861048284182,0.103339939535216,0.00516939064682501,0.000647640358451238,0.000647640358451238,0.00229100208632889,-0.00162000000000102,0,0,0,0,0,-0.000299853277593581,-0.00123062948770962,-0.000677157365258234,-0.000652835478258545,-0.000652835478258545,-0.000663785418291423,0,0,0,0,0,0
16,-5.5236,-6.2413,-6.3527,-6.3585,-6.3585,-6.3559,-6.003,-6,-6,-6,-6,-6,-5.5236,-6.2413,-6.3527,-6.3585,-6.3585,-6.3559,-6.003,-6,-6,-6,-6,-6,0.0325999999999995,-0.00279999999999969,-0.0114999999999998,-0.0120000000000005,-0.0120000000000005,-0.0118,-0.000300000000000189,0,0,0,0,0,0.206025327759355,0.107942948770963,0.00561573652582421,0.000483547825852064,0.000483547825852064,0.00265854182914218,-0.00162000000000102,0,0,0,0,0,-0.000221777212610124,-0.00121415563129891,-0.000625042056532232,-0.000599694545753281,-0.000599694545753281,-0.000610978616090127,0,0,0,0,0,0
17,-5.4909,-6.2428,-6.3632,-6.3696,-6.3696,-6.3668,-6.0033,-6,-6,-6,-6,-6,-5.4909,-6.2428,-6.3632,-6.3696,-6.3696,-6.3668,-6.0033,-6,-6,-6,-6,-6,0.0327000000000002,-0.00150000000000006,-0.0105000000000004,-0.0110999999999999,-0.0110999999999999,-0.0108999999999995,-0.000300000000000189,0,0,0,0,0,0.198757721261013,0.113315563129891,0.00580420565322105,2.94545753287096e-05,2.94545753287096e-05,0.00223786160901555,-0.00162000000000102,0,0,0,0,0,-0.000160400193621675,-0.00120534315400852,-0.000579622856522862,-0.000552972293559056,-0.000552972293559056,-0.000564534877894878,0,0,0,0,0,0
18,-5.4585,-6.2434,-6.3727,-6.3798,-6.3798,-6.3768,-6.0036,-6,-6,-6,-6,-6,-5.4585,-6.2434,-6.3727,-6.3798,-6.3798,-6.3768,-6.0036,-6,-6,-6,-6,-6,0.0324,-0.000600000000000378,-0.00950000000000006,-0.0102000000000002,-0.0102000000000002,-0.0100000000000007,-0.000299999999999301,0,0,0,0,0,0.191000019362167,0.11729431540085,0.00666228565228585,0.000217229355904457,0.000217229355904457,0.0024534877894842,-0.00161999999999622,0,0,0,0,0,-0.000113914510907749,-0.00120182088666119,-0.000540347613388922,-0.000512135711203465,-0.000512135711203465,-0.000523936668573174,0,0,0,0,0,0
19,-5.4264,-6.243,-6.3813,-6.3892,-6.3892,-6.386,-6.004,-6,-6,-6,-6,-6,-5.4264,-6.243,-6.3813,-6.3892,-6.3892,-6.386,-6.004,-6,-6,-6,-6,-6,0.0320999999999998,0.000399999999999956,-0.00860000000000039,-0.00939999999999941,-0.00939999999999941,-0.00919999999999987,-0.000399999999999956,0,0,0,0,0,0.184731451090774,0.122342088666119,0.00759476133889009,0.000453571120349655,0.000453571120349655,0.00271366685731803,-0.00215999999999976,0,0,0,0,0,-7.94865671237558e-05,-0.00120416888709897,-0.00050630095445976,-0.000476295191714913,-0.000476295191714913,-0.000488302751160245,0,0,0,0,0,0
20,-5.395,-6.2418,-6.3893,-6.3981,-6.3981,-6.3946,-6.0044,-6,-6,-6,-6,-6,-5.395,-6.2418,-6.3893,-6.3981,-6.3981,-6.3946,-6.0044,-6,-6,-6,-6,-6,0.0314000000000005,0.00120000000000076,-0.00800000000000001,-0.00890000000000057,-0.00890000000000057,-0.0085999999999995,-0.000400000000000844,0,0,0,0,0,0.177508656712379,0.126896888709901,0.00743009544597597,-0.000430480828511791,-0.000430480828511791,0.00239027511602719,-0.00216000000000456,0,0,0,0,0,-5.47917015930051e-05,-0.00121121708677957,-0.00047592317387733,-0.000443948726026076,-0.000443948726026076,-0.00045648520720585,0,0,0,0,0,0
